小区名称,均价,在售套数,所在区,所在街道
"
云悦湾
",54696,113,上城,七堡
"
开元路63、65、67、69号
",54685,1,上城,湖滨
"
定安苑
",54679,22,上城,清波
"
融信孔雀蓝郡
",54647,44,拱墅,申花
"
景江城市花园
",54620,29,上城,近江
"
光复路146-186号
",54516,15,上城,湖滨
"
桃花河新村
",54444,10,拱墅,武林
"
中海钱塘山水
",54416,71,滨江,浦沿
"
银泰海威国际
",54399,35,滨江,长河
"
云翠金澜府
",54394,7,上城,七堡
"
西溪路24号
",54362,0,西湖,黄龙
"
绿城九龙仓钱塘明月
",54359,39,萧山,萧山新城区
"
高教新村
",54339,32,西湖,文一西路
"
嘉璟华庭
",54301,1,拱墅,湖墅
"
孝子坊
",54290,0,上城,清波
"
曙光路121号
",54188,2,西湖,黄龙
"
滨江金色江南公寓
",54179,54,萧山,钱江世纪城
"
嘉南公寓瀑水居
",54179,17,西湖,文一西路
"
金茂悦
",54162,58,拱墅,申花
"
麒麟街小区
",54156,2,拱墅,众安桥
"
青石桥24幢
",54135,5,西湖,黄龙
"
月塘璟宸府
",54118,55,上城,笕桥
"
金成嘉南公寓
",54115,13,西湖,文一西路
"
马塍路9号
",53985,5,西湖,文三
"
文二路62号
",53965,3,西湖,文教
"
上塘宸章
",53896,37,拱墅,运河新城
"
大兜路198号
",53854,1,拱墅,大关
"
小河路
",53841,31,拱墅,桥西
"
欣盛东方郡
",53839,76,滨江,滨江区政府
"
溪望尚庭
",53822,81,余杭,未来科技城
"
凤起路512号
",53742,1,拱墅,武林
"
水澄花园南苑
",53686,6,上城,复兴
"
西溪蝶园二期
",53630,100,西湖,西溪
"
绿城深蓝广场
",53555,13,拱墅,朝晖
"
万科天空之城
",53552,126,余杭,未来科技城
"
黄龙世纪苑
",53537,4,西湖,黄龙
"
悦风华邸
",53531,30,上城,城东新城
"
文二路170号
",53519,2,西湖,文教
"
环城西路68号
",53512,2,拱墅,武林
"
玲珑府
",53509,67,滨江,西兴
"
汀澜府
",53502,23,拱墅,申花
"
邮电路
",53495,2,上城,湖滨
"
盛世诚品
",53493,50,西湖,之江
"
文二路58号
",53491,2,西湖,文教
"
钱江七苑
",53486,20,上城,钱江新城
"
延定巷
",53464,2,上城,湖滨
"
西溪华府
",53422,102,西湖,西溪
"
河缸桥
",53416,7,西湖,文教
"
九溪民航宿舍
",53371,0,西湖,之江
"
钱江六苑
",53339,23,上城,钱江新城
"
西溪公寓
",53338,10,西湖,文教
"
钱江一苑
",53335,5,上城,钱江新城
"
水稻大厦
",53322,0,拱墅,武林
"
枝头巷7-28号
",53295,17,上城,湖滨
"
凤起桥河下
",53272,14,拱墅,武林
"
保利鹭沙郡府
",53266,22,钱塘,沿江南
"
上岛公馆
",53242,7,拱墅,德胜
"
紫桂花园
",53212,36,西湖,文一西路
"
钱江华府
",53199,61,上城,城东新城
"
冠苑小区
",53151,14,西湖,申花
"
望钱塘云庄
",53146,33,上城,九堡
"
涌金广场聚景阁
",53128,4,上城,湖滨
"
西溪名园
",53115,15,余杭,西溪
"
菩提寺路10号
",53105,2,上城,湖滨
"
钱江二苑
",53096,5,上城,钱江新城
"
文二路160号
",53050,1,西湖,文教
"
香石公寓
",53015,25,拱墅,三塘
"
宸鹭香舍
",52962,6,拱墅,三塘
"
保亭人家
",52953,19,西湖,文教
"
南北西岸
",52936,66,拱墅,桥西
"
武林巷37号
",52914,5,西湖,文三
"
越秀前滩名邸
",52897,51,上城,七堡
"
中旅归锦府
",52797,90,上城,城东新城
"
青龙苑
",52784,6,拱墅,丝绸城
"
之江路42号
",52764,0,西湖,之江
"
延龄苑
",52760,0,拱墅,武林
"
六和源
",52749,9,上城,复兴
"
中海云之宸府
",52681,14,滨江,长河
"
梵天寺路64号
",52666,1,上城,西湖景区
"
采荷人家
",52653,34,上城,采荷
"
东宝翠轩
",52636,4,上城,四季青
"
阳光地带花园
",52591,25,西湖,文一西路
"
金科博翠碧蓝湾
",52589,43,上城,七堡
"
华海园
",52561,28,西湖,文教
"
华苑公寓
",52553,41,西湖,文一西路
"
秋涛南苑
",52524,28,上城,南星
"
万科璞悦湾
",52515,71,滨江,浦沿
"
枫华府第
",52512,56,西湖,翠苑
"
世纪新城西区
",52512,33,西湖,嘉绿
"
和家园雍园
",52469,7,西湖,西溪
"
绿城桃花源
",52448,50,余杭,中泰
"
绿城杨柳郡
",52419,201,上城,七堡
"
莫干山路515号
",52415,6,西湖,文教
"
融创玖樟台
",52414,39,上城,笕桥
"
柏峰珑悦府
",52398,42,萧山,钱江世纪城
"
嘉南公寓影池居
",52382,9,西湖,文一西路
"
溪畔花园
",52379,20,西湖,文教
"
九月森林
",52327,15,西湖,留下
"
中南棠玥湾
",52314,64,上城,七堡
"
西溪蝶园一期
",52246,29,西湖,西溪
"
金都华府
",52244,41,上城,雄镇楼
"
棹月雅府
",52203,46,上城,火车东站
"
碧珑湾
",52156,37,萧山,萧山新城区
"
瑞立中央花城
",52137,79,滨江,滨江区政府
"
横广福路
",52115,3,拱墅,众安桥
"
晓霞弄
",52083,0,上城,鼓楼
"
江山弄
",52060,19,拱墅,武林
"
仙林苑
",52034,39,拱墅,众安桥
"
中山北路363号
",52026,1,拱墅,天水
"
马塍路4号
",52013,2,西湖,文三
"
环城西路42号
",51990,0,拱墅,武林
"
滨江江南之星
",51932,175,萧山,萧山新城区
"
景湖苑
",51854,9,拱墅,武林
"
劳工弄
",51848,3,拱墅,武林
"
丽景苑(下城)
",51846,9,拱墅,潮鸣
"
文二路98号
",51844,5,西湖,文教
"
信达东莱府
",51842,27,上城,城东新城
"
清江路82-3号
",51827,0,上城,四季青
"
武林巷36号
",51790,2,西湖,文三
"
新明半岛涵碧园
",51784,9,余杭,中泰
"
风昀铭苑
",51742,49,余杭,未来科技城
"
西溪河下76号
",51740,2,西湖,文教
"
春宸上府
",51687,38,上城,笕桥
"
曙光路123号
",51661,5,西湖,黄龙
"
积家
",51650,43,滨江,浦沿
"
天巢花苑
",51607,6,拱墅,武林
"
汇鑫枫景苑
",51565,1,上城,南肖埠
"
中粮方圆府
",51560,28,拱墅,三塘
"
兴财名都苑
",51559,9,西湖,文教
"
风景大院
",51540,34,拱墅,桥西
"
绿城丁香公寓
",51534,23,西湖,黄龙
"
浣纱路
",51531,18,上城,湖滨
"
体育场路178-418号
",51513,4,拱墅,武林
"
新金都城市花园
",51505,52,西湖,文一西路
"
文二路46号
",51476,3,西湖,文教
"
顺发和美家
",51461,85,萧山,钱江世纪城
"
婺江家园四园
",51399,1,上城,近江
"
定安东苑
",51346,6,上城,清波
"
文三路52-1号
",51345,4,西湖,文三
"
紫林公寓
",51334,12,西湖,文一西路
"
太和广场
",51315,14,上城,南星
"
景瑞原墅
",51294,13,余杭,未来科技城
"
恒升花苑
",51291,3,西湖,文三
"
观璟庭
",51255,49,余杭,未来科技城
"
金隅会潮悦府
",51227,59,上城,城东新城
"
世纪新城东区
",51183,82,西湖,嘉绿
"
文二路66号
",51147,0,西湖,文教
"
和家园臻园
",51133,36,西湖,西溪
"
中城汇MIDTOWN
",51130,94,拱墅,万达广场
"
云荷廷
",51117,105,西湖,之江
"
紫玉福邸
",51041,18,上城,火车东站
"
中山中路312-404号
",51035,8,上城,湖滨
"
顺发恒园
",50995,48,萧山,萧山新城区
"
青山湖玫瑰园
",50924,137,临安,临安
"
钱江三苑
",50851,28,上城,钱江新城
"
之江九里
",50843,65,西湖,之江
"
映月台
",50841,142,余杭,未来科技城
"
天阳上河
",50832,34,拱墅,桥西
"
越秀天萃名邸
",50796,27,上城,七堡
"
体育场路
",50776,0,西湖,黄龙
"
保俶北路91号
",50700,2,西湖,文教
"
佑圣观路5号
",50692,2,上城,城站
"
广厦爱丽山庄
",50692,6,临平,星桥
"
直戒坛寺巷
",50660,21,拱墅,武林
"
青年路小区
",50659,18,上城,湖滨
"
天阅云合源
",50602,31,拱墅,万达广场
"
闻博花城
",50591,76,萧山,萧山新城区
"
九溪玫瑰园
",50583,1,西湖,之江
"
宁东拥潮府
",50578,54,萧山,萧山新城区
"
星洲花园红树林
",50548,22,西湖,文一西路
"
文三路57号
",50520,3,西湖,文三
"
绿城交投汀岸晓庐
",50513,32,余杭,未来科技城
"
得力名门世家
",50496,34,萧山,南部卧城
"
浦翠景庭
",50483,1,滨江,浦沿
"
绿城潮听明月
",50453,39,上城,七堡
"
保俶北路29号
",50437,0,西湖,文教
"
德信浙旅东宸
",50428,30,上城,城东新城
"
采荷路35号
",50337,4,上城,采荷
"
莫干山路347号
",50305,3,西湖,文教
"
翡翠江南华庭
",50266,43,萧山,钱江世纪城
"
锦昌文华苑
",50215,55,拱墅,拱宸桥
"
翠揽云境
",50191,72,上城,七堡
"
苏黎士小镇
",50161,21,萧山,湘湖
"
西溪山庄麓云苑
",50129,36,余杭,小和山
"
保俶北路99号
",50102,0,西湖,文教
"
荀庄
",50097,33,余杭,瓶窑
"
信步闲庭
",50091,19,拱墅,桥西
"
唐家景府
",50087,4,上城,景芳
"
运新花苑三区
",50076,11,上城,景芳
"
公元沐桥
",50063,28,西湖,之江
"
中山中路460-466号
",50056,3,上城,湖滨
"
紫园
",50005,4,上城,采荷
"
火药局弄39号
",49992,2,上城,清波
"
凤凰北苑
",49986,75,上城,南星
"
河坊街小区
",49947,0,上城,鼓楼
"
大兜路
",49936,1,拱墅,大关
"
江新苑小区
",49925,2,上城,复兴
"
融信杭州世纪
",49924,44,萧山,萧山新城区
"
西湖大道261、263、265号
",49902,5,上城,清波
"
星洲花园单身公寓
",49889,3,西湖,文一西路
"
万科坤和玉泉
",49799,81,西湖,西溪
"
昆仑橡树园
",49796,51,拱墅,申花
"
百岁坊巷
",49767,2,上城,鼓楼
"
中交悦西溪
",49755,24,余杭,西溪
"
金地大运桥西府
",49723,26,拱墅,万达广场
"
健康公寓
",49709,4,拱墅,丝绸城
"
国信嘉园
",49703,48,滨江,彩虹城
"
顺发旺角城二期
",49697,17,萧山,萧山市区
"
玉古路167.171号
",49667,15,西湖,黄龙
"
香积寺巷
",49650,4,拱墅,大关
"
金地玖峯汇
",49640,66,上城,九堡
"
布店弄
",49626,2,拱墅,众安桥
"
德信银树湾
",49591,38,拱墅,桥西
"
青春都市公寓
",49553,4,上城,南肖埠
"
富越香郡
",49548,56,拱墅,桥西
"
环城西路70号
",49518,2,拱墅,武林
"
荣安招商祥宸府
",49515,39,拱墅,三墩
"
环城西路38号
",49500,3,拱墅,武林
"
香兰名院
",49472,7,拱墅,大关
"
凤起路417号
",49435,1,拱墅,众安桥
"
文一路91号
",49417,0,西湖,文教
"
融信萧山公馆
",49410,33,萧山,萧山市区
"
金地天逸
",49398,104,萧山,萧山市区
"
滨江西溪之星
",49390,72,余杭,西溪
"
保俶北路95号
",49387,2,西湖,文教
"
大华西溪风情澄品
",49370,69,余杭,西溪
"
之江路51号
",49363,2,西湖,之江
"
光耀府
",49329,36,萧山,萧山市区
"
万家花城一期
",49317,90,拱墅,申花
"
环西新村
",49276,24,拱墅,武林
"
东方一号
",49273,21,萧山,萧山新城区
"
景宸天玺名城
",49241,90,萧山,萧山新城区
"
水沟巷
",49203,4,上城,清波
"
万科星空
",49112,32,余杭,未来科技城
"
钱塘滨和花园
",49106,4,滨江,滨江区政府
"
金昌春和钱塘
",49067,84,萧山,钱江世纪城
"
勤丰小区
",49062,21,拱墅,申花
"
景城花园
",49057,12,西湖,翠苑
"
枫丹白露
",49020,4,西湖,之江
"
坤和西溪里璞园
",49010,28,西湖,西溪
"
德雅花园
",49002,12,西湖,文教
"
柳营花园东区
",48963,7,拱墅,长庆
"
复兴城市家园
",48954,21,上城,复兴
"
大和里
",48933,4,拱墅,众安桥
"
紫樾府
",48828,74,余杭,未来科技城
"
顺发旭辉国悦府
",48816,11,萧山,萧山市区
"
世纪之光
",48808,123,萧山,钱江世纪城
"
文一路93号
",48707,3,西湖,文教
"
绿城春来晓园
",48686,45,上城,笕桥
"
近江家园一园
",48677,26,上城,近江
"
思敬里
",48677,2,拱墅,武林
"
中山北路369号
",48645,3,拱墅,天水
"
香洲里
",48592,19,余杭,西溪
"
秋涛路157号
",48545,7,上城,雄镇楼
"
东城印象公寓
",48526,12,上城,景芳
"
万安城市花园西苑
",48525,6,上城,清泰
"
凤凰山脚路
",48492,2,上城,西湖景区
"
万家花城二期
",48459,54,拱墅,申花
"
新城西溪逸境
",48454,36,余杭,未来科技城
"
天钜银河府
",48444,87,萧山,萧山新城区
"
长庆街
",48435,2,拱墅,长庆
"
杭印路
",48435,7,拱墅,桥西
"
富星苑
",48386,12,上城,近江
"
恒大国玺悦龙府
",48357,46,萧山,萧山新城区
"
茗春苑
",48350,15,西湖,转塘
"
时代滨江悦
",48333,16,滨江,西兴
"
利兹城市公寓
",48289,7,拱墅,建国北路
"
竹竿巷
",48269,14,拱墅,众安桥
"
顺福雅苑二区
",48213,3,上城,景芳
"
雪峰清泰花苑
",48194,1,上城,清泰
"
绿城晓月和风
",48189,14,滨江,彩虹城
"
金都华庭
",48174,19,拱墅,流水苑
"
嘉南公寓青藤居
",48172,10,西湖,文一西路
"
莫干山路613号
",48168,2,西湖,文教
"
邮政公寓
",48162,5,上城,采荷
"
武林桥河下
",48146,19,拱墅,武林
"
金棕榈花园
",48077,44,上城,复兴
"
乐虹湾
",48057,128,萧山,湘湖
"
莫干山路343
",48050,2,西湖,文教
"
阳光城未来悦MAX
",48046,126,余杭,未来科技城
"
招商远洋春秋华庭
",48032,53,拱墅,运河新城
"
钱江时代公寓
",48031,58,上城,近江
"
天目山路20号
",48021,1,西湖,文三
"
保俶北路46号
",48018,1,西湖,文教
"
白金海岸
",48017,63,滨江,长河
"
采荷街道青荷苑
",48000,15,上城,采荷
"
安吉路
",48000,10,拱墅,武林
"
盛元慧谷
",47987,57,滨江,彩虹城
"
绿城汀岸芷兰轩
",47965,12,西湖,之江
"
宋都凯旋苑
",47932,40,上城,采荷
"
望林府
",47929,127,拱墅,万达广场
"
府新花园西区
",47918,13,西湖,文三西路
"
华夏四季
",47893,146,余杭,未来科技城
"
红石中央花苑
",47868,9,拱墅,湖墅
"
采荷小区芙蓉邨
",47827,15,上城,采荷
"
云裳公寓
",47812,3,拱墅,建国北路
"
高运莱茵传奇
",47805,44,萧山,萧山新城区
"
绿城兰桂花园
",47786,23,西湖,文一西路
"
近江家园五园
",47768,28,上城,近江
"
上河公元里
",47741,13,拱墅,运河新城
"
当弄新村
",47715,1,西湖,申花
"
皇亲苑
",47690,24,拱墅,天水
"
中国铁建国际城
",47620,75,拱墅,拱宸桥
"
众安蒲荷芸邸
",47617,60,余杭,未来科技城
"
钱江四苑
",47616,4,上城,钱江新城
"
秋涛路178号
",47609,3,上城,南星
"
孝丰路小区
",47603,9,拱墅,武林
"
万科公望
",47577,36,富阳,东洲
"
名城燕园
",47521,34,拱墅,桥西
"
国都公寓
",47504,41,拱墅,众安桥
"
木材新村
",47499,27,上城,南星
"
大关公寓
",47490,1,拱墅,和睦
"
武林路
",47480,51,拱墅,武林
"
比胜庙巷13号
",47479,1,上城,湖滨
"
和谐嘉园南苑
",47451,17,上城,采荷
湖印宸山庄,83330,18,临平区,星桥
万丽璞丽,73726,2,临平区,临平新城
绿城伍重院,63404,6,临平区,东湖
华清山庄,61243,6,临平区,临平新城
广厦爱丽山庄,50385,6,临平区,星桥
华元花涧堂,46125,33,临平区,临平新城
臻品府,37874,39,临平区,临平新城
荷花别墅,37151,1,临平区,东湖
绿城玉园,36153,45,临平区,临平新城
新希望美的长粼府,34191,57,临平区,乔司
滨耀城,33467,28,临平区,临平新城
理想康城一品花苑,33337,41,临平区,临平新城
祥生群贤府,33178,106,临平区,崇贤
路劲远洋江南院子,33100,56,临平区,崇贤
广宇鼎悦府,32983,12,临平区,临平新城
荣安柳岸闻莺,32758,25,临平区,东湖
长粼之宸公寓,32729,20,临平区,乔司
中旅时光里,32340,29,临平区,乔司
德信博宸君府,32172,20,临平区,临平新城
阳光城保亿翡丽云邸,31997,26,临平区,临平新城
观棠明月,31969,11,临平区,塘栖
源著天樾府,31422,32,临平区,乔司
通和十二橡树,31038,71,临平区,星桥
同乔里,30727,2,临平区,乔司
西房杭语宸鹭院,30663,29,临平区,崇贤
嘉悦府,30594,52,临平区,东湖
阅湖之宸,30567,29,临平区,乔司
观湖之宸,30419,43,临平区,乔司
西房拱宸外滩,30231,110,临平区,崇贤
天珀府,30216,105,临平区,乔司
阳光绿色雅苑,29772,59,临平区,乔司
东湖尚府,29353,26,临平区,临平新城
香悦和鸣府,29316,42,临平区,临平新城
大美公寓,29163,29,临平区,临平新城
星运丽园兰逸,29078,12,临平区,星桥
临平桂花城南区,29022,19,临平区,临平新城
雍熙山庄,28965,17,临平区,临平新城
远洋路劲上河宸章,28741,65,临平区,崇贤
首创禧瑞江南,28695,46,临平区,临平新城
星翠芳华府,28665,10,临平区,星桥
旭辉时代城,28534,86,临平区,崇贤
西房良语云缦,28495,16,临平区,临平新城
中景华庭,28354,13,临平区,乔司
中交理想时代芳华,28038,59,临平区,临平新城
荣安翡翠半岛,27925,77,临平区,崇贤
中交悦美庐,27911,48,临平区,临平新城
随塘,27828,31,临平区,塘栖
学成府,27524,73,临平区,星桥
侨福·明园,27392,0,临平区,临平新城
绿城莲园,27370,35,临平区,东湖
汇高栢悦中心,27008,44,临平区,东湖
祥生绿都京杭府,26898,90,临平区,崇贤
君临天下,26394,61,临平区,临平新城
凯文杭庄,26262,24,临平区,东湖
御清城,26152,53,临平区,东湖
理想康城国际,25944,138,临平区,临平新城
华鼎君临天峯,25906,27,临平区,临平新城
经建绅世郡园,25903,47,临平区,临平新城
华鼎豪园,25792,7,临平区,临平新城
卓悦华庭（临平区）,25557,116,临平区,星桥
东海水景城,25421,202,临平区,临平新城
艺郡府,25264,63,临平区,乔司
月映星语园,25162,28,临平区,星桥
金辉蓝光辉逸云筑,25144,98,临平区,星桥
融创融耀之城,25029,77,临平区,星桥
经纬美耀湾,25021,37,临平区,星桥
金地艺境西区,25011,43,临平区,乔司
晨语汀澜里,24982,12,临平区,崇贤
佳兆业君汇上品,24917,46,临平区,乔司
天樾四季城,24874,17,临平区,塘栖
余庭,24865,72,临平区,临平新城
茶语华邸,24847,0,临平区,东湖
时代悦章府,24827,53,临平区,东湖
绿荷叠翠轩,24769,20,临平区,东湖
金辉久尚云筑,24633,87,临平区,乔司
金地艺境东区,24619,78,临平区,乔司
华源天盛中心,24608,13,临平区,临平新城
奥园华景川上锦宸府,24474,62,临平区,塘栖
绿都东澜府,24399,82,临平区,崇贤
胜稼红星嘉园三区,24357,0,临平区,乔司
路劲银城澜仕里,24349,56,临平区,崇贤
咏翠芳华轩,24314,14,临平区,东湖
中意名仕苑,24304,20,临平区,临平新城
和合财富中心,24290,14,临平区,临平新城
风荷叠翠府,24273,5,临平区,东湖
理想银泰城,24217,146,临平区,临平新城
香岸华庭,24095,133,临平区,东湖
逸品明珠花苑,24077,7,临平区,临平新城
贝利保元泽第,24012,18,临平区,临平新城
临平山庄,23958,4,临平区,临平新城
源翠府,23914,27,临平区,崇贤
旭辉贤君庭,23909,62,临平区,崇贤
钱塘梧桐蓝山,23888,95,临平区,临平新城
好望公寓,23792,3,临平区,临平新城
新希望锦畔云汀,23719,38,临平区,东湖
璞悦江南府,23699,16,临平区,崇贤
莱茵知己,23673,55,临平区,东湖
绿城蓝庭西区,23579,116,临平区,东湖
东晖龙悦湾,23558,111,临平区,东湖
金都夏宫,23530,280,临平区,东湖
海珀华庭,23458,39,临平区,东湖
野风珑园,23421,19,临平区,临平新城
星合映,23371,52,临平区,崇贤
宸瀚里,23344,43,临平区,运河新城
艺尚里,23341,15,临平区,临平新城
望梅华庭,23337,68,临平区,东湖
景瑞路劲海逸翠廷,23327,47,临平区,崇贤
朝阳西路97号,23227,1,临平区,临平新城
光合映,23201,34,临平区,崇贤
欣苑,23185,73,临平区,东湖
上坤山语四季,23038,59,临平区,东湖
朗诗未来街区东园,23005,44,临平区,乔司
华章名苑,22972,80,临平区,临平新城
秋实宸悦居,22971,26,临平区,崇贤
晴翠秋时府,22956,6,临平区,崇贤
朗诗未来街区,22944,74,临平区,乔司
杭语清澄,22917,48,临平区,崇贤
中天汀洲印月,22845,51,临平区,东湖
景瑞御华府,22740,72,临平区,临平新城
赞成首府,22738,104,临平区,临平新城
景瑞阳光城法兰公园,22646,88,临平区,东湖
璞云府,22420,51,临平区,东湖
嘉信九悦印象,22414,22,临平区,临平新城
香岸云栖燕庐,22410,33,临平区,东湖
香颂乐苑藕香居,22320,23,临平区,东湖
复地绿城月映咏荷园,22198,56,临平区,东湖
星光街505-1号,22177,0,临平区,东湖
赞成杭家,22170,72,临平区,崇贤
长岛绿园,22137,9,临平区,东湖
山青语筑,22131,43,临平区,东湖
曲江城发久境府,22119,47,临平区,东湖
宋都如意云境,22111,5,临平区,崇贤
赞成香颂一期,22097,33,临平区,东湖
久雍府,22038,40,临平区,东湖
华元欢乐城,21998,289,临平区,临平新城
风景晨园,21960,91,临平区,乔司
理想家园,21953,25,临平区,临平新城
云栖宸园,21912,35,临平区,东湖
海珀雅苑,21860,70,临平区,东湖
赞成檀府,21778,85,临平区,临平新城
广厦天都城尚棠源筑,21712,69,临平区,星桥
东田怡丰城,21709,105,临平区,乔司
临平桂花城北区,21680,64,临平区,临平新城
胡姬花园,21616,16,临平区,临平新城
安盛家园,21584,6,临平区,临平新城
上亿中央郡,21556,30,临平区,崇贤
经纬御贤府,21552,7,临平区,崇贤
君临阁,21509,0,临平区,临平新城
广厦天都城温莎苑,21450,25,临平区,星桥
东冠逸景花苑,21438,58,临平区,乔司
河畔新村,21348,23,临平区,临平新城
毓秀家园,21348,32,临平区,临平新城
新城都市丽景北区,21196,13,临平区,临平新城
瑞金华丽嘉苑,21153,43,临平区,星桥
三角丰收湖嘉园二区,21032,1,临平区,乔司
铂郡阁,21026,10,临平区,东湖
桂花星城,21018,35,临平区,临平新城
贝利珑昕泽第,21007,33,临平区,临平新城
中和北宸府,20944,32,临平区,崇贤
名苑公寓,20868,1,临平区,临平新城
龙湖香醍溪岸,20858,151,临平区,东湖
新城都市丽景南苑,20837,10,临平区,临平新城
广厦天都城爱尚公寓,20747,23,临平区,星桥
擎天半岛,20716,166,临平区,星桥
旭辉府,20637,127,临平区,崇贤
九龙仓君廷,20628,128,临平区,塘栖
瑞金华庭嘉苑,20610,59,临平区,星桥
君兰华庭,20574,17,临平区,崇贤
佳源名城,20565,83,临平区,崇贤
乔司商贸苑,20487,16,临平区,乔司
锦上庭,20455,85,临平区,星桥
沁源公寓,20409,103,临平区,星桥
太平永顺苑,20371,0,临平区,星桥
东城丽景,20355,53,临平区,乔司
锦昌年华,20321,168,临平区,崇贤
胜稼红星嘉园一区,20305,5,临平区,乔司
胜稼红星嘉园四区,20296,2,临平区,乔司
新街社区,20268,4,临平区,乔司
滨沁公寓,20141,137,临平区,星桥
瓶山公寓,20047,1,临平区,临平新城
红丰综合楼西楼,20025,0,临平区,临平新城
星桥桂花城,20017,64,临平区,星桥
复地连城国际,20006,237,临平区,乔司
西大街5-1号,19998,1,临平区,临平新城
联城公寓,19993,0,临平区,临平新城
蓝江晶品阁,19889,23,临平区,东湖
枫桥庭,19828,53,临平区,星桥
朝阳西路67号,19813,0,临平区,临平新城
胜稼红星嘉园二区,19785,4,临平区,乔司
临云山庄,19742,1,临平区,临平新城
贝利栖溪公馆,19722,41,临平区,塘栖
新城花苑,19698,21,临平区,临平新城
绿城风华苑,19645,64,临平区,临平新城
广厦天都城蓝调苑,19638,63,临平区,星桥
铁铺埭家苑一区,19609,0,临平区,星桥
龙尚府,19596,39,临平区,临平新城
嘉和银领时代,19536,51,临平区,星桥
瑞金华翠嘉苑,19526,15,临平区,星桥
绿城蓝庭东区,19499,120,临平区,东湖
迎宾花苑,19487,6,临平区,临平新城
河南埭路2号,19479,1,临平区,临平新城
绿城紫桂公寓,19451,77,临平区,星桥
锦良嘉苑三区,19443,3,临平区,临平新城
名门天第,19412,21,临平区,临平新城
邱山大街32号,19299,2,临平区,临平新城
佳居园,19266,1,临平区,临平新城
星运丽园,19257,81,临平区,星桥
宝丽金庭,19216,9,临平区,塘栖
伟业熙境府,19212,22,临平区,塘栖
众安理想湾,19191,174,临平区,东湖
前贤华庭,19146,1,临平区,崇贤
源山雅阁,19143,2,临平区,临平新城
桂花星座,19141,29,临平区,星桥
宾果公寓,19134,34,临平区,星桥
中铁九逸,19091,77,临平区,东湖
中尚橄榄树花园(南区),19077,77,临平区,崇贤
沾桥新苑,19002,8,临平区,崇贤
广厦天都城紫韵公寓,18957,40,临平区,星桥
雍澜府,18915,31,临平区,塘栖
广厦天都城天星苑,18798,84,临平区,星桥
锦良嘉苑二区,18770,12,临平区,临平新城
相寓,18658,26,临平区,东湖
东海花园,18619,25,临平区,临平新城
金桥花苑,18616,17,临平区,临平新城
广厦天都城爵士花园,18614,35,临平区,星桥
迎宾路158号,18504,3,临平区,临平新城
保安弄,18500,2,临平区,临平新城
河南埭路17号,18460,1,临平区,临平新城
中尚橄榄树花园（北区）,18382,53,临平区,崇贤
东冠逸家,18362,37,临平区,乔司
天水苑,18358,31,临平区,星桥
美好桂花金座,18348,44,临平区,星桥
星光街968号,18339,0,临平区,临平新城
广厦天都城天河苑,18310,183,临平区,星桥
进修弄,18274,12,临平区,临平新城
碧天家园,18236,18,临平区,临平新城
金石华城,18229,53,临平区,塘栖
格之林花园,18207,33,临平区,东湖
市南街,18199,0,临平区,塘栖
乔井路40-1号,18164,1,临平区,乔司
赵家弄(余杭),18150,5,临平区,临平新城
龙栖湾大厦,18114,11,临平区,塘栖
苏荷苑,18111,54,临平区,星桥
紫欣华庭,18106,42,临平区,崇贤
原舍花苑,18075,20,临平区,塘栖
翁梅新苑一区,18071,9,临平区,乔司
嘉利花园,17969,9,临平区,临平新城
朝阳西路43号,17946,1,临平区,临平新城
清流居,17943,1,临平区,塘栖
北大街141号,17936,2,临平区,临平新城
世纪嘉园晴彩巴厘,17922,75,临平区,临平新城
水韵四维苑北区,17921,12,临平区,运河新城
华立和郡,17914,17,临平区,东湖
朝阳西路135号,17847,2,临平区,临平新城
邱山大街344号-1,17832,1,临平区,临平新城
水汀人家,17830,16,临平区,临平新城
方家弄,17818,10,临平区,临平新城
阳光100嘉园,17794,1,临平区,塘栖
东湖中路18号,17739,0,临平区,临平新城
贝利栖溪望府,17643,59,临平区,塘栖
藕花洲大街,17617,1,临平区,临平新城
丰惠家园,17614,4,临平区,乔司
意法轻纺城,17517,26,临平区,乔司
东海水漾人家,17480,36,临平区,临平新城
乔中永和苑,17478,17,临平区,乔司
龙王塘路59号,17478,2,临平区,临平新城
迎宾路158-1号,17469,2,临平区,临平新城
清河花园,17467,5,临平区,临平新城
梅堰路13号,17455,7,临平区,临平新城
星火南路15号,17450,1,临平区,临平新城
凤仪家园,17413,19,临平区,临平新城
星海云庭,17406,72,临平区,崇贤
红联九漾华庭西区,17363,18,临平区,临平新城
苏珹名府,17343,28,临平区,临平新城
栖水珑庭,17331,7,临平区,塘栖
熙德名府,17331,31,临平区,临平新城
广大景和园,17328,6,临平区,临平新城
华励花苑,17286,1,临平区,临平新城
嘉丰万悦城南区,17279,91,临平区,东湖
兴安公寓,17274,11,临平区,乔司
前横弄8号,17261,1,临平区,临平新城
翁梅新苑二区,17250,23,临平区,乔司
野风启城,17249,82,临平区,塘栖
百合苑,17227,4,临平区,临平新城
邱山小区,17215,34,临平区,临平新城
春晖花苑,17202,3,临平区,临平新城
五月花城,17162,45,临平区,星桥
春风江南府,17159,33,临平区,塘栖
佳维新苑,17117,18,临平区,崇贤
水岸嘉园,17067,8,临平区,临平新城
吴家东风嘉苑一区,17047,1,临平区,乔司
石油公寓,17043,1,临平区,临平新城
